,TI,EN,TI_tokenized,EN_tokenized
0,እቶም ናብ ግብጺ ዝመጹ ደቂ እስራኤል ስሞም እዚ እዩ፡ ነፍሲ ወከፍ መምስ ቤተ ሰቡ ምስ ያእቆብ መጸ፡,"Now these are the names of the sons of Israel, who came into Egypt (every man and his household came with Jacob):","['እቶም', 'ናብ', 'ግብጺ', 'ዝመጹ', 'ደቂ', 'እስራኤል', 'ስሞም', 'እዚ', 'እዩ', 'ነፍሲ', 'ወከፍ', 'መምስ', 'ቤተ', 'ሰቡ', 'ምስ', 'ያእቆብ', 'መጸ']","['now', 'these', 'are', 'the', 'names', 'of', 'the', 'sons', 'of', 'israel', 'who', 'came', 'into', 'egypt', 'every', 'man', 'and', 'his', 'household', 'came', 'with', 'jacob']"
1,ሮቤል፡ ስምኦን፡ ሌውን ይሁዳን፡,"Reuben, Simeon, Levi, and Judah,","['ሮቤል', 'ስምኦን', 'ሌውን', 'ይሁዳን']","['reuben', 'simeon', 'levi', 'and', 'judah']"
2,ይሳኮር፡ ዛብሎን፡ ብንያም ድማ፡,"Issachar, Zebulun, and Benjamin,","['ይሳኮር', 'ዛብሎን', 'ብንያም', 'ድማ']","['issachar', 'zebulun', 'and', 'benjamin']"
3,ዳንን ንፍታሌምን ጋድን ኣሴርን።,"Dan and Naphtali, Gad and Asher.","['ዳንን', 'ንፍታሌምን', 'ጋድን', 'ኣሴርን']","['dan', 'and', 'naphtali', 'gad', 'and', 'asher']"
4,ካብ ሕቘ ያእቆብ ዝወጹ ዅላቶም ሰብዓ ነፍሲ ነበሩ። ዮሴፍ ድማ ኣብ ግብጺ ነበረ።,"All the souls who came out of Jacob''s body were seventy souls, and Joseph was in Egypt already.","['ካብ', 'ሕቘ', 'ያእቆብ', 'ዝወጹ', 'ዅላቶም', 'ሰብዓ', 'ነፍሲ', 'ነበሩ', 'ዮሴፍ', 'ድማ', 'ኣብ', 'ግብጺ', 'ነበረ']","['all', 'the', 'souls', 'who', 'came', 'out', 'of', ""jacob''s"", 'body', 'were', 'seventy', 'souls', 'and', 'joseph', 'was', 'in', 'egypt', 'already']"
5,ዮሴፍን ኵሎም ኣሕዋቱን፡ እቲ ወለዶ ዅሉ ከኣ ሞቱ።,"Joseph died, as did all his brothers, and all that generation.","['ዮሴፍን', 'ኵሎም', 'ኣሕዋቱን', 'እቲ', 'ወለዶ', 'ዅሉ', 'ከኣ', 'ሞቱ']","['joseph', 'died', 'as', 'did', 'all', 'his', 'brothers', 'and', 'all', 'that', 'generation']"
6,ደቂ እስራኤል ተፋረዩ፡ ሰሰኑ፡ በዝሑ ድማ። ኣዝዮም ከኣ በርትዑ፡ እታ ሃገርውን ብእኦም መልኤት።,"The children of Israel were fruitful, and increased abundantly, and multiplied, and grew exceedingly mighty; and the land was filled with them.","['ደቂ', 'እስራኤል', 'ተፋረዩ', 'ሰሰኑ', 'በዝሑ', 'ድማ', 'ኣዝዮም', 'ከኣ', 'በርትዑ', 'እታ', 'ሃገርውን', 'ብእኦም', 'መልኤት']","['the', 'children', 'of', 'israel', 'were', 'fruitful', 'and', 'increased', 'abundantly', 'and', 'multiplied', 'and', 'grew', 'exceedingly', 'mighty', 'and', 'the', 'land', 'was', 'filled', 'with', 'them']"
7,ኣብ ግብጺ ኸኣ ንዮሴፍ ዘይፈልጥ ሓድሽ ንጉስ ተንስኤ።,"Now there arose a new king over Egypt, who didn''t know Joseph.","['ኣብ', 'ግብጺ', 'ኸኣ', 'ንዮሴፍ', 'ዘይፈልጥ', 'ሓድሽ', 'ንጉስ', 'ተንስኤ']","['now', 'there', 'arose', 'a', 'new', 'king', 'over', 'egypt', 'who', ""didn''t"", 'know', 'joseph']"
8,ንሱ ድማ ንህዝቡ፡ እንሆ፡ ህዝቢ ደቂ እስራኤል ካባና በዝሑን በርትዑን፡,"He said to his people, ""Behold, the people of the children of Israel are more and mightier than we.","['ንሱ', 'ድማ', 'ንህዝቡ', 'እንሆ', 'ህዝቢ', 'ደቂ', 'እስራኤል', 'ካባና', 'በዝሑን', 'በርትዑን']","['he', 'said', 'to', 'his', 'people', '""behold', 'the', 'people', 'of', 'the', 'children', 'of', 'israel', 'are', 'more', 'and', 'mightier', 'than', 'we']"
9,እምበኣርከ ኸይበዝሑ እሞ፡ ውግእ ምስ ዚለዐለና፡ ንሳቶም ድማ ምስ ጸላእትና ሐቢሮም ከይዋግኡና ኻብዛ ሃገርውን ከይወጹ፡ ንዑ ንጣበበሎም፡ በሎም።,"Come, let us deal wisely with them, lest they multiply, and it happen that when any war breaks out, they also join themselves to our enemies, and fight against us, and escape out of the land.""","['እምበኣርከ', 'ኸይበዝሑ', 'እሞ', 'ውግእ', 'ምስ', 'ዚለዐለና', 'ንሳቶም', 'ድማ', 'ምስ', 'ጸላእትና', 'ሐቢሮም', 'ከይዋግኡና', 'ኻብዛ', 'ሃገርውን', 'ከይወጹ', 'ንዑ', 'ንጣበበሎም', 'በሎም']","['come', 'let', 'us', 'deal', 'wisely', 'with', 'them', 'lest', 'they', 'multiply', 'and', 'it', 'happen', 'that', 'when', 'any', 'war', 'breaks', 'out', 'they', 'also', 'join', 'themselves', 'to', 'our', 'enemies', 'and', 'fight', 'against', 'us', 'and', 'escape', 'out', 'of', 'the', 'land.""']"
10,ብብርቱዕ ዕዮ ምእንቲ ኼጽብቡሎም ከኣ ኣዘዝቲ ሸመሎም። ንፈርኦን ድማ ጲቶምን ራዕምሴስን ከተማታት ሪቕ ሰርሑሉ።,Therefore they set taskmasters over them to afflict them with their burdens. They built storage cities for Pharaoh: Pithom and Raamses.,"['ብብርቱዕ', 'ዕዮ', 'ምእንቲ', 'ኼጽብቡሎም', 'ከኣ', 'ኣዘዝቲ', 'ሸመሎም', 'ንፈርኦን', 'ድማ', 'ጲቶምን', 'ራዕምሴስን', 'ከተማታት', 'ሪቕ', 'ሰርሑሉ']","['therefore', 'they', 'set', 'taskmasters', 'over', 'them', 'to', 'afflict', 'them', 'with', 'their', 'burdens', 'they', 'built', 'storage', 'cities', 'for', 'pharaoh', 'pithom', 'and', 'raamses']"
11,ብመጠን እቲ ዘጽበቡሎም ግና ኽንዳኡ ሰሰኑ፡ ክንዳኡ ኸኣ ተዘርግሑ እሞ፡ ብደቂ እስራኤል ይጭነቑ ነበሩ።,"But the more they afflicted them, the more they multiplied and the more they spread out. They were grieved because of the children of Israel.","['ብመጠን', 'እቲ', 'ዘጽበቡሎም', 'ግና', 'ኽንዳኡ', 'ሰሰኑ', 'ክንዳኡ', 'ኸኣ', 'ተዘርግሑ', 'እሞ', 'ብደቂ', 'እስራኤል', 'ይጭነቑ', 'ነበሩ']","['but', 'the', 'more', 'they', 'afflicted', 'them', 'the', 'more', 'they', 'multiplied', 'and', 'the', 'more', 'they', 'spread', 'out', 'they', 'were', 'grieved', 'because', 'of', 'the', 'children', 'of', 'israel']"
12,ግብጻውያን ንደቂ እስራኤል ብጭከና ኣዕየይዎም።,"The Egyptians ruthlessly made the children of Israel serve,","['ግብጻውያን', 'ንደቂ', 'እስራኤል', 'ብጭከና', 'ኣዕየይዎም']","['the', 'egyptians', 'ruthlessly', 'made', 'the', 'children', 'of', 'israel', 'serve']"
13,ንህይወቶም ድማ ብብርቱዕ ዕዮ፡ ብባዕጥን ብጡብን ብዅሉ ዕዮ መሮርን በቲ ዅሉ ዜዕይይዎም ዕዮ ብምጭካን ኣመረርዎም።,"and they made their lives bitter with hard service, in mortar and in brick, and in all manner of service in the field, all their service, in which they ruthlessly made them serve.","['ንህይወቶም', 'ድማ', 'ብብርቱዕ', 'ዕዮ', 'ብባዕጥን', 'ብጡብን', 'ብዅሉ', 'ዕዮ', 'መሮርን', 'በቲ', 'ዅሉ', 'ዜዕይይዎም', 'ዕዮ', 'ብምጭካን', 'ኣመረርዎም']","['and', 'they', 'made', 'their', 'lives', 'bitter', 'with', 'hard', 'service', 'in', 'mortar', 'and', 'in', 'brick', 'and', 'in', 'all', 'manner', 'of', 'service', 'in', 'the', 'field', 'all', 'their', 'service', 'in', 'which', 'they', 'ruthlessly', 'made', 'them', 'serve']"
14,ንጉስ ግብጺ ድማ ነተን መሕረስቲ እብራውያን፡ እታ ሓንቲ ሺፍራ ዝስማ፡ እታ ኻልኣይቲ ኸኣ ጱዓ ዝስማ፡ ተዛረበን፡,"The king of Egypt spoke to the Hebrew midwives, of whom the name of the one was Shiphrah, and the name of the other Puah,","['ንጉስ', 'ግብጺ', 'ድማ', 'ነተን', 'መሕረስቲ', 'እብራውያን', 'እታ', 'ሓንቲ', 'ሺፍራ', 'ዝስማ', 'እታ', 'ኻልኣይቲ', 'ኸኣ', 'ጱዓ', 'ዝስማ', 'ተዛረበን']","['the', 'king', 'of', 'egypt', 'spoke', 'to', 'the', 'hebrew', 'midwives', 'of', 'whom', 'the', 'name', 'of', 'the', 'one', 'was', 'shiphrah', 'and', 'the', 'name', 'of', 'the', 'other', 'puah']"
15,ነተን ኣንስቲ እብራውያን ከተሕርሳኤን ከሎኽን፡ ኣብቲ ዚሐርሳሉ ርኣያ፡ ወዲ እንተ ዀነ ቅተላኦ፡ ጓል እንተ ዀነት ግና ብህይወታ ትንበር።,"and he said, ""When you perform the duty of a midwife to the Hebrew women, and see them on the birth stool; if it is a son, then you shall kill him; but if it is a daughter, then she shall live.""","['ነተን', 'ኣንስቲ', 'እብራውያን', 'ከተሕርሳኤን', 'ከሎኽን', 'ኣብቲ', 'ዚሐርሳሉ', 'ርኣያ', 'ወዲ', 'እንተ', 'ዀነ', 'ቅተላኦ', 'ጓል', 'እንተ', 'ዀነት', 'ግና', 'ብህይወታ', 'ትንበር']","['and', 'he', 'said', '""when', 'you', 'perform', 'the', 'duty', 'of', 'a', 'midwife', 'to', 'the', 'hebrew', 'women', 'and', 'see', 'them', 'on', 'the', 'birth', 'stool', 'if', 'it', 'is', 'a', 'son', 'then', 'you', 'shall', 'kill', 'him', 'but', 'if', 'it', 'is', 'a', 'daughter', 'then', 'she', 'shall', 'live.""']"
16,እተን መሕረስቲ ግና ንኣምላኽ ፈሪሄን፡ ነቶም እተወልዱ ብህይወት ሐደጋኦም እምበር፡ ከምቲ ንጉስ ግብጺ ዝበለን ኣይገበራን።,"But the midwives feared God, and didn''t do what the king of Egypt commanded them, but saved the baby boys alive.","['እተን', 'መሕረስቲ', 'ግና', 'ንኣምላኽ', 'ፈሪሄን', 'ነቶም', 'እተወልዱ', 'ብህይወት', 'ሐደጋኦም', 'እምበር', 'ከምቲ', 'ንጉስ', 'ግብጺ', 'ዝበለን', 'ኣይገበራን']","['but', 'the', 'midwives', 'feared', 'god', 'and', ""didn''t"", 'do', 'what', 'the', 'king', 'of', 'egypt', 'commanded', 'them', 'but', 'saved', 'the', 'baby', 'boys', 'alive']"
17,ሽዑ ንጉስ ነተን መሕረስቲ ጸዊዑ፡ ነቶም እተወልዱ ብህይወት እትሐድጋኦምሲ፡ ስለምንታይ ከምዚ ገበርክን፧ በለን።,"The king of Egypt called for the midwives, and said to them, ""Why have you done this thing, and have saved the boys alive?""","['ሽዑ', 'ንጉስ', 'ነተን', 'መሕረስቲ', 'ጸዊዑ', 'ነቶም', 'እተወልዱ', 'ብህይወት', 'እትሐድጋኦምሲ', 'ስለምንታይ', 'ከምዚ', 'ገበርክን', 'በለን']","['the', 'king', 'of', 'egypt', 'called', 'for', 'the', 'midwives', 'and', 'said', 'to', 'them', '""why', 'have', 'you', 'done', 'this', 'thing', 'and', 'have', 'saved', 'the', 'boys', 'alive?""']"
18,እተን መሕረስቲ ኸኣ ንፈርኦን፡ እተን እብራውያን ከም ኣንስቲ ግብጻውያን ኣይኰናን። ንሳተን ሓያላት እየን እሞ፡ እታ መሕረሲት ከይመጸተን ሐሪሰን ይጸንሓ፡ በላኦ።,"The midwives said to Pharaoh, ""Because the Hebrew women aren''t like the Egyptian women; for they are vigorous, and give birth before the midwife comes to them.""","['እተን', 'መሕረስቲ', 'ኸኣ', 'ንፈርኦን', 'እተን', 'እብራውያን', 'ከም', 'ኣንስቲ', 'ግብጻውያን', 'ኣይኰናን', 'ንሳተን', 'ሓያላት', 'እየን', 'እሞ', 'እታ', 'መሕረሲት', 'ከይመጸተን', 'ሐሪሰን', 'ይጸንሓ', 'በላኦ']","['the', 'midwives', 'said', 'to', 'pharaoh', '""because', 'the', 'hebrew', 'women', ""aren''t"", 'like', 'the', 'egyptian', 'women', 'for', 'they', 'are', 'vigorous', 'and', 'give', 'birth', 'before', 'the', 'midwife', 'comes', 'to', 'them.""']"
19,ኣምላኽ ድማ ነተን መሕረስቲ ጽቡቕ ገበረለን። እቲ ህዝቢውን በዝሔ፡ ኣዝዪ ኸኣ በርትዔ።,"God dealt well with the midwives, and the people multiplied, and grew very mighty.","['ኣምላኽ', 'ድማ', 'ነተን', 'መሕረስቲ', 'ጽቡቕ', 'ገበረለን', 'እቲ', 'ህዝቢውን', 'በዝሔ', 'ኣዝዪ', 'ኸኣ', 'በርትዔ']","['god', 'dealt', 'well', 'with', 'the', 'midwives', 'and', 'the', 'people', 'multiplied', 'and', 'grew', 'very', 'mighty']"
20,ኰነ ድማ፡ እተን መሕረስቲ ንኣምላኽ ስለ ዝፈርሃ፡ ኣባይቲ ገበረለን።,"It happened, because the midwives feared God, that he gave them families.","['ኰነ', 'ድማ', 'እተን', 'መሕረስቲ', 'ንኣምላኽ', 'ስለ', 'ዝፈርሃ', 'ኣባይቲ', 'ገበረለን']","['it', 'happened', 'because', 'the', 'midwives', 'feared', 'god', 'that', 'he', 'gave', 'them', 'families']"
21,ሽዑ ፈርኦን ንዅሉ ህዝቢ፡ እተወልደ ወዲ ዘበለ ናብ ርባ ደርብይዎ፡ ኵለን ኣዋልድ ግና ብህይወተን ሕደግወን፡ ኢሉ ኣዘዘ።,"Pharaoh charged all his people, saying, ""You shall cast every son who is born into the river, and every daughter you shall save alive.""","['ሽዑ', 'ፈርኦን', 'ንዅሉ', 'ህዝቢ', 'እተወልደ', 'ወዲ', 'ዘበለ', 'ናብ', 'ርባ', 'ደርብይዎ', 'ኵለን', 'ኣዋልድ', 'ግና', 'ብህይወተን', 'ሕደግወን', 'ኢሉ', 'ኣዘዘ']","['pharaoh', 'charged', 'all', 'his', 'people', 'saying', '""you', 'shall', 'cast', 'every', 'son', 'who', 'is', 'born', 'into', 'the', 'river', 'and', 'every', 'daughter', 'you', 'shall', 'save', 'alive.""']"
22,ሓደ ሰብኣይ ከኣ ካብ ቤት ሌዊ ኸይዱ ጓል ሌዊ ኣእተወ።,A man of the house of Levi went and took a daughter of Levi as his wife.,"['ሓደ', 'ሰብኣይ', 'ከኣ', 'ካብ', 'ቤት', 'ሌዊ', 'ኸይዱ', 'ጓል', 'ሌዊ', 'ኣእተወ']","['a', 'man', 'of', 'the', 'house', 'of', 'levi', 'went', 'and', 'took', 'a', 'daughter', 'of', 'levi', 'as', 'his', 'wife']"
23,እታ ሰበይቲ ድማ ጠነሰት፡ ወዲውን ወለደት። ንሱ ጽቡቕ ቈልዓ ምዃኑ ምስ ረኣየት ከኣ፡ ሰለስተ ወርሒ ሐብኣቶ።,"The woman conceived, and bore a son. When she saw that he was a fine child, she hid him three months.","['እታ', 'ሰበይቲ', 'ድማ', 'ጠነሰት', 'ወዲውን', 'ወለደት', 'ንሱ', 'ጽቡቕ', 'ቈልዓ', 'ምዃኑ', 'ምስ', 'ረኣየት', 'ከኣ', 'ሰለስተ', 'ወርሒ', 'ሐብኣቶ']","['the', 'woman', 'conceived', 'and', 'bore', 'a', 'son', 'when', 'she', 'saw', 'that', 'he', 'was', 'a', 'fine', 'child', 'she', 'hid', 'him', 'three', 'months']"
24,ደጊም ምሕባኡ ምስ ሰኣነት፡ ሳጹን ሻምብቆ ወሲዳ ብቕጥራንን ብዝፍትን ለቕለቐቶ፡ ነቲ ቘልዓ ናብኡ ኣእትያ ድማ፡ ኣብ ገምገም ርባ፡ ኣብ ሰልሰላ ኣንበረቶ።,"When she could no longer hide him, she took a papyrus basket for him, and coated it with tar and with pitch. She put the child in it, and laid it in the reeds by the river''s bank.","['ደጊም', 'ምሕባኡ', 'ምስ', 'ሰኣነት', 'ሳጹን', 'ሻምብቆ', 'ወሲዳ', 'ብቕጥራንን', 'ብዝፍትን', 'ለቕለቐቶ', 'ነቲ', 'ቘልዓ', 'ናብኡ', 'ኣእትያ', 'ድማ', 'ኣብ', 'ገምገም', 'ርባ', 'ኣብ', 'ሰልሰላ', 'ኣንበረቶ']","['when', 'she', 'could', 'no', 'longer', 'hide', 'him', 'she', 'took', 'a', 'papyrus', 'basket', 'for', 'him', 'and', 'coated', 'it', 'with', 'tar', 'and', 'with', 'pitch', 'she', 'put', 'the', 'child', 'in', 'it', 'and', 'laid', 'it', 'in', 'the', 'reeds', 'by', 'the', ""river''s"", 'bank']"
25,ሓብቱ ድማ እንታይ ከም ዚረኽቦ ኽትፈልጥ፡ ርሕቕ ኢላ ደው በለት።,"His sister stood far off, to see what would be done to him.","['ሓብቱ', 'ድማ', 'እንታይ', 'ከም', 'ዚረኽቦ', 'ኽትፈልጥ', 'ርሕቕ', 'ኢላ', 'ደው', 'በለት']","['his', 'sister', 'stood', 'far', 'off', 'to', 'see', 'what', 'would', 'be', 'done', 'to', 'him']"
26,ጓል ፈርኦን ከኣ ክትሕጸብ ናብ ርባ ወረደት፡ እተን ኣግራዳ ድማ ገምገመገምገም እቲ ርባ ይዛወራ ነበራ። ኣብ ማእከል ሰልሰላ ሳጹን ረኣየት እሞ፡ ገረዳ ሰዲዳ ኣምጽኣቶ።,"Pharaoh''s daughter came down to bathe at the river. Her maidens walked along by the riverside. She saw the basket among the reeds, and sent her handmaid to get it.","['ጓል', 'ፈርኦን', 'ከኣ', 'ክትሕጸብ', 'ናብ', 'ርባ', 'ወረደት', 'እተን', 'ኣግራዳ', 'ድማ', 'ገምገመገምገም', 'እቲ', 'ርባ', 'ይዛወራ', 'ነበራ', 'ኣብ', 'ማእከል', 'ሰልሰላ', 'ሳጹን', 'ረኣየት', 'እሞ', 'ገረዳ', 'ሰዲዳ', 'ኣምጽኣቶ']","[""pharaoh''s"", 'daughter', 'came', 'down', 'to', 'bathe', 'at', 'the', 'river', 'her', 'maidens', 'walked', 'along', 'by', 'the', 'riverside', 'she', 'saw', 'the', 'basket', 'among', 'the', 'reeds', 'and', 'sent', 'her', 'handmaid', 'to', 'get', 'it']"
27,ከፊታ ድማ ነቲ ሕጻን ረኣየቶ፡ እንሆ ኸኣ፡ እቲ ቘልዓ ይበኪ ነበረ። ደንጊጻትሉ ድማ፡ እዚ ኻብ ሕጻናት እብራውያን እዩ፡ በለት።,"She opened it, and saw the child, and behold, the baby cried. She had compassion on him, and said, ""This is one of the Hebrews'' children.""","['ከፊታ', 'ድማ', 'ነቲ', 'ሕጻን', 'ረኣየቶ', 'እንሆ', 'ኸኣ', 'እቲ', 'ቘልዓ', 'ይበኪ', 'ነበረ', 'ደንጊጻትሉ', 'ድማ', 'እዚ', 'ኻብ', 'ሕጻናት', 'እብራውያን', 'እዩ', 'በለት']","['she', 'opened', 'it', 'and', 'saw', 'the', 'child', 'and', 'behold', 'the', 'baby', 'cried', 'she', 'had', 'compassion', 'on', 'him', 'and', 'said', '""this', 'is', 'one', 'of', 'the', ""hebrews''"", 'children.""']"
28,ሽዑ እታ ሓብቱ ንጓል ፈርኦን፡ ካብተን እብራውያን ኣንስቲ ነዚ ሕጻንዚ እተጥብወልኪ መጉዚትዶ ኽጽውዓልኪ ክኸይድ፧ በለታ።,"Then his sister said to Pharaoh''s daughter, ""Should I go and call a nurse for you from the Hebrew women, that she may nurse the child for you?""","['ሽዑ', 'እታ', 'ሓብቱ', 'ንጓል', 'ፈርኦን', 'ካብተን', 'እብራውያን', 'ኣንስቲ', 'ነዚ', 'ሕጻንዚ', 'እተጥብወልኪ', 'መጉዚትዶ', 'ኽጽውዓልኪ', 'ክኸይድ', 'በለታ']","['then', 'his', 'sister', 'said', 'to', ""pharaoh''s"", 'daughter', '""should', 'i', 'go', 'and', 'call', 'a', 'nurse', 'for', 'you', 'from', 'the', 'hebrew', 'women', 'that', 'she', 'may', 'nurse', 'the', 'child', 'for', 'you?""']"
29,ጓል ፈርኦን ከኣ፡ ኪዲ፡ በለታ። እታ ጓል ድማ ከደት፡ ነደ እቲ ሕጻን ከኣ ጸውዓታ።,"Pharaoh''s daughter said to her, ""Go."" The maiden went and called the child''s mother.","['ጓል', 'ፈርኦን', 'ከኣ', 'ኪዲ', 'በለታ', 'እታ', 'ጓል', 'ድማ', 'ከደት', 'ነደ', 'እቲ', 'ሕጻን', 'ከኣ', 'ጸውዓታ']","[""pharaoh''s"", 'daughter', 'said', 'to', 'her', '""go.""', 'the', 'maiden', 'went', 'and', 'called', 'the', ""child''s"", 'mother']"
30,ጓል ፈርኦን ድማ፥ ነዚ ሕጻንዚ ወሲድኪ ኣጥብውለይ፡ ኣነ ኸኣ ዓስብኺ ኽህበኪ እየ፡ በለታ። እታ ሰበይቲ ድማ ነቲ ሕጻን ወሲዳ ኣጥበወቶ።,"Pharaoh''s daughter said to her, ""Take this child away, and nurse him for me, and I will give you your wages."" The woman took the child, and nursed it.","['ጓል', 'ፈርኦን', 'ድማ', 'ነዚ', 'ሕጻንዚ', 'ወሲድኪ', 'ኣጥብውለይ', 'ኣነ', 'ኸኣ', 'ዓስብኺ', 'ኽህበኪ', 'እየ', 'በለታ', 'እታ', 'ሰበይቲ', 'ድማ', 'ነቲ', 'ሕጻን', 'ወሲዳ', 'ኣጥበወቶ']","[""pharaoh''s"", 'daughter', 'said', 'to', 'her', '""take', 'this', 'child', 'away', 'and', 'nurse', 'him', 'for', 'me', 'and', 'i', 'will', 'give', 'you', 'your', 'wages.""', 'the', 'woman', 'took', 'the', 'child', 'and', 'nursed', 'it']"
31,እቲ ሕጻን ከኣ ዐበየ፡ ናብ ጓል ፈርኦንውን ኣምጽኣቶ። ወዳ ድማ ዀነ። ካብ ማይ ኣውጺኤዮ እየ፡ ኢላ ስሙ ሙሴ ኣውጽኣትሉ።,"The child grew, and she brought him to Pharaoh''s daughter, and he became her son. She named him Moses, and said, ""Because I drew him out of the water.""","['እቲ', 'ሕጻን', 'ከኣ', 'ዐበየ', 'ናብ', 'ጓል', 'ፈርኦንውን', 'ኣምጽኣቶ', 'ወዳ', 'ድማ', 'ዀነ', 'ካብ', 'ማይ', 'ኣውጺኤዮ', 'እየ', 'ኢላ', 'ስሙ', 'ሙሴ', 'ኣውጽኣትሉ']","['the', 'child', 'grew', 'and', 'she', 'brought', 'him', 'to', ""pharaoh''s"", 'daughter', 'and', 'he', 'became', 'her', 'son', 'she', 'named', 'him', 'moses', 'and', 'said', '""because', 'i', 'drew', 'him', 'out', 'of', 'the', 'water.""']"
