,EN,TI,TI_tokenized,EN_tokenized
0,Can you find what you want to say here,እንታይ ክትብል ከም ዝደለኻ ካብዚ መጽሓፍ ክትረክቦ ምከኣልካዶ,"['እንታይ', 'ክትብል', 'ከም', 'ዝደለኻ', 'ካብዚ', 'መጽሓፍ', 'ክትረክቦ', 'ምከኣልካዶ']","['can', 'you', 'find', 'what', 'you', 'want', 'to', 'say', 'here']"
1,It has several languages,ብዙሓት ቋንቋታት ኣለዎ,"['ብዙሓት', 'ቋንቋታት', 'ኣለዎ']","['it', 'has', 'several', 'languages']"
2,We can try to communicate this way,በዚ ኣገባብ ጌርና ክንረዳዳእ ክንፍትን ኢና,"['በዚ', 'ኣገባብ', 'ጌርና', 'ክንረዳዳእ', 'ክንፍትን', 'ኢና']","['we', 'can', 'try', 'to', 'communicate', 'this', 'way']"
3,What is your name,መን'ዩ ስምካ,"[""መን'ዩ"", 'ስምካ']","['what', 'is', 'your', 'name']"
4,I’m hungry,ጥሜት ኣለኒ,"['ጥሜት', 'ኣለኒ']","['i’m', 'hungry']"
5,Where can I find a nappy,መድረዝ ኣፍ አበይ ክረክብ እክእል,"['መድረዝ', 'ኣፍ', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'a', 'nappy']"
6,I’m thirsty,ማይ ጸሚ,"['ማይ', 'ጸሚ']","['i’m', 'thirsty']"
7,I need to take a shower,ነብሰይ ክሕፀብ ደልየ,"['ነብሰይ', 'ክሕፀብ', 'ደልየ']","['i', 'need', 'to', 'take', 'a', 'shower']"
8,Where can I take a shower,ነብሰይ አበይ ክሕፀብ እክእል,"['ነብሰይ', 'አበይ', 'ክሕፀብ', 'እክእል']","['where', 'can', 'i', 'take', 'a', 'shower']"
9,I need to make a phone call,ተለፎን ክድዉል ደልየ,"['ተለፎን', 'ክድዉል', 'ደልየ']","['i', 'need', 'to', 'make', 'a', 'phone', 'call']"
10,Where can I pray,አበይ ክጽልይ እክእል,"['አበይ', 'ክጽልይ', 'እክእል']","['where', 'can', 'i', 'pray']"
11,We need to sleep,ክንድቅስ ንደሊ ኣለና,"['ክንድቅስ', 'ንደሊ', 'ኣለና']","['we', 'need', 'to', 'sleep']"
12,Where is the subway,መደበር ናይ ባቡር ጋለሪያ ኣበይ አዩ,"['መደበር', 'ናይ', 'ባቡር', 'ጋለሪያ', 'ኣበይ', 'አዩ']","['where', 'is', 'the', 'subway']"
13,where is the underground,መደበር ናይ ባቡር ጋለሪያ ኣበይ አዩ,"['መደበር', 'ናይ', 'ባቡር', 'ጋለሪያ', 'ኣበይ', 'አዩ']","['where', 'is', 'the', 'underground']"
14,I don’t have any money,ገንዘብ የብለይን,"['ገንዘብ', 'የብለይን']","['i', 'don’t', 'have', 'any', 'money']"
15,Do you speak English,እንግሊዝኛ ትዛረብዶ,"['እንግሊዝኛ', 'ትዛረብዶ']","['do', 'you', 'speak', 'english']"
16,I don't speak English very well,ጽቡቅ ኢንግሊዝኛ አይዛረብን እየ,"['ጽቡቅ', 'ኢንግሊዝኛ', 'አይዛረብን', 'እየ']","['i', ""don't"", 'speak', 'english', 'very', 'well']"
17,Can you write that down for me,ጽሒፍካ ክትህበኒ ምከአልካዶ,"['ጽሒፍካ', 'ክትህበኒ', 'ምከአልካዶ']","['can', 'you', 'write', 'that', 'down', 'for', 'me']"
18,I don’t understand,ኣይተረድኣንን,['ኣይተረድኣንን'],"['i', 'don’t', 'understand']"
19,Please help me,በጃኻ ሓግዘኒ,"['በጃኻ', 'ሓግዘኒ']","['please', 'help', 'me']"
20,I don’t know,ኣይፈልጥን,['ኣይፈልጥን'],"['i', 'don’t', 'know']"
21,What happened,እንታይ ተረኽበ,"['እንታይ', 'ተረኽበ']","['what', 'happened']"
22,I am cold,ብጣዕሚ ቖሪሩኒ,"['ብጣዕሚ', 'ቖሪሩኒ']","['i', 'am', 'cold']"
23,I am freezing,ብጣዕሚ ቖሪሩኒ,"['ብጣዕሚ', 'ቖሪሩኒ']","['i', 'am', 'freezing']"
24,I’m happy,ተሓጒሰ አለኹ,"['ተሓጒሰ', 'አለኹ']","['i’m', 'happy']"
